file                bytes_processed  p_value        status  last_ok      final
0_1_2_24_13_12.log  1.250000e+8      2.580000e-76   fail    -            -    
1_0_2_5_21_1.log    1.250000e+8      1.720000e-77   fail    -            -    
0_1_0_5_23_1.log    1.250000e+8      1.810000e-79   fail    -            -    
1_0_1_5_23_1.log    1.250000e+8      5.740000e-81   fail    -            -    
1_0_2_13_24_12.log  1.250000e+8      2.860000e-81   fail    -            -    
0_1_0_3_20_17.log   1.250000e+8      1.350000e-82   fail    -            -    
1_0_2_9_14_5.log    1.250000e+8      1.110000e-82   fail    -            -    
0_1_2_30_7_6.log    1.250000e+8      9.350000e-83   fail    -            -    
1_0_2_26_10_9.log   1.250000e+8      1.170000e-83   fail    -            -    
0_1_2_13_24_20.log  1.250000e+8      3.800000e-85   fail    -            -    
0_1_1_11_17_4.log   1.250000e+8      2.580000e-85   fail    -            -    
1_0_1_3_20_17.log   1.250000e+8      1.700000e-85   fail    -            -    
0_1_2_10_26_9.log   1.250000e+8      3.820000e-86   fail    -            -    
1_0_1_17_11_4.log   1.250000e+8      2.560000e-87   fail    -            -    
1_0_2_10_26_23.log  1.250000e+8      2.450000e-89   fail    -            -    
1_0_0_23_9_4.log    1.250000e+8      1.800000e-90   fail    -            -    
0_1_2_5_21_31.log   1.250000e+8      5.940000e-91   fail    -            -    
1_0_2_7_30_6.log    1.250000e+8      5.120000e-91   fail    -            -    
0_1_2_26_10_23.log  1.250000e+8      3.150000e-95   fail    -            -    
1_0_0_11_17_4.log   1.250000e+8      6.130000e-96   fail    -            -    
0_1_1_23_9_4.log    1.250000e+8      1.460000e-99   fail    -            -    
0_1_0_9_4_22.log    1.250000e+8      1.310000e-100  fail    -            -    
0_1_0_17_11_4.log   1.250000e+8      2.770000e-108  fail    -            -    
0_1_1_6_5_21.log    1.250000e+8      1.320000e-123  fail    -            -    
1_0_1_9_4_22.log    1.250000e+8      1.530000e-125  fail    -            -    
0_1_2_10_28_27.log  1.250000e+8      3.960000e-126  fail    -            -    
0_1_1_16_5_14.log   1.250000e+8      1.730000e-132  fail    -            -    
1_0_2_8_29_14.log   1.250000e+8      4.100000e-133  fail    -            -    
1_0_2_10_28_5.log   1.250000e+8      2.950000e-134  fail    -            -    
0_1_2_7_29_30.log   1.250000e+8      2.820000e-137  fail    -            -    
0_1_2_16_8_5.log    1.250000e+8      8.210000e-144  fail    -            -    
0_1_2_28_10_5.log   1.250000e+8      2.190000e-144  fail    -            -    
1_0_2_28_10_27.log  1.250000e+8      8.170000e-149  fail    -            -    
1_0_2_7_29_2.log    1.250000e+8      3.290000e-149  fail    -            -    
