
=== All PRNGs ===
Rank | Params           | Last Pass | Last Test  | Last Iter   | Total All   | No Anom | P-Value    | Iters
  50 | 1 0 0 25 3 28    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  51 | 1 0 0 31 1 9     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  52 | 1 0 1 1 4 13     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  53 | 1 0 1 3 20 17    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  54 | 1 0 1 5 6 21     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  55 | 1 0 1 15 5 12    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  56 | 1 0 1 17 15 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  57 | 1 0 1 19 3 1     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  58 | 1 0 2 1 1 9      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  59 | 1 0 2 1 4 5      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  60 | 1 0 2 2 5 4      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  61 | 1 0 2 3 5 14     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  62 | 1 0 2 4 19 30    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  63 | 1 0 2 5 28 20    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  64 | 1 0 2 6 2 19     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  65 | 1 0 2 7 4 6      | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  66 | 1 0 2 7 17 21    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  67 | 1 0 2 7 28 5     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  68 | 1 0 2 9 18 30    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  69 | 1 0 2 9 20 29    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  70 | 1 0 2 14 25 27   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  71 | 1 0 2 14 27 6    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  72 | 1 0 2 15 23 20   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  73 | 1 0 2 16 18 5    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  74 | 1 0 2 18 1 25    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  75 | 1 0 2 18 16 27   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  76 | 1 0 2 20 23 11   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  77 | 1 0 2 21 24 7    | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  78 | 1 0 2 21 26 25   | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
  79 | 1 0 2 22 2 7     | 128KB     | 256KB      | 1F 0S 0U    | 1F 0S 0U    |     465 | 1.0        |     9
