# Run started: 2025-09-20T09:55:17-07:00
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 3): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 2): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 5): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 10): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 6): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 8): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 12): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 7): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 9): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 11): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 13): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 14): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 15): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 18): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 16): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 17): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 20): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 19): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 21): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 22): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 25): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 27): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 26): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 23): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 24): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 28): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 29): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 31): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 30): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 33): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 32): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 36): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 34): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 37): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 35): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 38): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 39): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 41): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 40): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 43): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 42): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 45): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 44): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 46): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 47): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 51): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 48): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 50): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 49): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 52): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 53): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 54): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 55): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 57): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 56): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 58): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 59): NOT OK
i=(0, 0, 0, 1) ops=(0, 1) c=(2, 60): NOT OK
